id,abstract,torch,mindspore,paddle,jittor,tensorflow
53,functional_call,torch.nn.utils.stateless.functional_call,,,,
54,gaussiannllloss,torch.nn.GaussianNLLLoss,mindspore.nn.GaussianNLLLoss,,,
55,gelu,torch.nn.GELU,mindspore.nn.GELU,paddle.nn.GELU,jittor.nn.GELU,tf.keras.activations.gelu
56,global_unstructured,torch.nn.utils.prune.global_unstructured,,,,
57,glu,torch.nn.GLU,mindspore.nn.GLU,,,
58,groupnorm,torch.nn.GroupNorm,mindspore.nn.GroupNorm,paddle.nn.GroupNorm,jittor.nn.GroupNorm,
59,gru,torch.nn.GRU,mindspore.nn.GRU,paddle.nn.GRU,,tf.keras.layers.GRU
60,grucell,torch.nn.GRUCell,mindspore.nn.GRUCell,paddle.nn.GRUCell,jittor.nn.GRUCell,tf.keras.layers.GRUCell
61,hardshrink,torch.nn.Hardshrink,,paddle.nn.Hardshrink,,
62,hardsigmoid,torch.nn.Hardsigmoid,,paddle.nn.Hardsigmoid,,tf.keras.activations.hard_sigmoid
63,hardswish,torch.nn.Hardswish,,paddle.nn.Hardswish,,
64,hardtanh,torch.nn.Hardtanh,mindspore.nn.Hardtanh,paddle.nn.Hardtanh,,
65,hingeembeddingloss,torch.nn.HingeEmbeddingLoss,mindspore.nn.HingeEmbeddingLoss,,,
66,huberloss,torch.nn.HuberLoss,mindspore.nn.HuberLoss,,,
67,identity,torch.nn.utils.prune.Identity,,,jittor.nn.Identity,
68,instancenorm1d,torch.nn.InstanceNorm1d,mindspore.nn.InstanceNorm1d,paddle.nn.InstanceNorm1D,jittor.nn.InstanceNorm1d,
69,instancenorm2d,torch.nn.InstanceNorm2d,mindspore.nn.InstanceNorm2d,paddle.nn.InstanceNorm2D,jittor.nn.InstanceNorm2d,
70,instancenorm3d,torch.nn.InstanceNorm3d,mindspore.nn.InstanceNorm3d,paddle.nn.InstanceNorm3D,jittor.nn.InstanceNorm3d,
71,is_parametrized,torch.nn.utils.parametrize.is_parametrized,,,,
72,is_pruned,torch.nn.utils.prune.is_pruned,,,,
73,kldivloss,torch.nn.KLDivLoss,mindspore.nn.KLDivLoss,,,
74,l1_unstructured,torch.nn.utils.prune.l1_unstructured,,,,
75,l1loss,torch.nn.L1Loss,mindspore.nn.L1Loss,,,
76,l1unstructured,torch.nn.utils.prune.L1Unstructured,,,,
77,layernorm,torch.nn.LayerNorm,mindspore.nn.LayerNorm,paddle.nn.LayerNorm,jittor.nn.LayerNorm,tf.keras.layers.LayerNormalization
78,lazybatchnorm1d,torch.nn.LazyBatchNorm1d,,,,tf.keras.layers.LayerNormalization
79,lazybatchnorm2d,torch.nn.LazyBatchNorm2d,,,,tf.keras.layers.LayerNormalization
80,lazybatchnorm3d,torch.nn.LazyBatchNorm3d,,,,tf.keras.layers.LayerNormalization
81,lazyconv1d,torch.nn.LazyConv1d,,,,
82,lazyconv2d,torch.nn.LazyConv2d,,,,
83,lazyconv3d,torch.nn.LazyConv3d,,,,
84,lazyconvtranspose1d,torch.nn.LazyConvTranspose1d,,,,
85,lazyconvtranspose2d,torch.nn.LazyConvTranspose2d,,,,
86,lazyconvtranspose3d,torch.nn.LazyConvTranspose3d,,,,
87,lazyinstancenorm1d,torch.nn.LazyInstanceNorm1d,,,,
88,lazyinstancenorm2d,torch.nn.LazyInstanceNorm2d,,,,
89,lazyinstancenorm3d,torch.nn.LazyInstanceNorm3d,,,,
90,lazylinear,torch.nn.LazyLinear,,,,
91,lazymodulemixin,torch.nn.modules.lazy.LazyModuleMixin,,,,
92,leakyrelu,torch.nn.LeakyReLU,mindspore.nn.LeakyReLU,paddle.nn.LeakyReLU,jittor.nn.LeakyReLU,tf.keras.layers.LeakyReLU
93,linear,torch.nn.Linear,,paddle.nn.Linear,jittor.nn.Linear,tf.keras.layers.Dense
94,ln_structured,torch.nn.utils.prune.ln_structured,,,,
95,lnstructured,torch.nn.utils.prune.LnStructured,,,,
96,localresponsenorm,torch.nn.LocalResponseNorm,,paddle.nn.LocalResponseNorm,,
97,logsigmoid,torch.nn.LogSigmoid,mindspore.nn.LogSigmoid,paddle.nn.LogSigmoid,,
98,logsoftmax,torch.nn.LogSoftmax,mindspore.nn.LogSoftmax,paddle.nn.LogSoftmax,,
99,lppool1d,torch.nn.LPPool1d,mindspore.nn.LPPool1d,,,
100,lppool2d,torch.nn.LPPool2d,mindspore.nn.LPPool2d,,,
101,lstm,torch.nn.LSTM,mindspore.nn.LSTM,paddle.nn.LSTM,,tf.keras.layers.LSTM
102,lstmcell,torch.nn.LSTMCell,mindspore.nn.LSTMCell,paddle.nn.LSTMCell,jittor.nn.LSTMCell,tf.keras.layers.LSTMCell
103,marginrankingloss,torch.nn.MarginRankingLoss,mindspore.nn.MarginRankingLoss,,,
104,maxpool1d,torch.nn.MaxPool1d,mindspore.nn.MaxPool1d,paddle.nn.MaxPool1D,,tf.keras.layers.MaxPooling1D
105,maxpool2d,torch.nn.MaxPool2d,mindspore.nn.MaxPool2d,paddle.nn.MaxPool2D,jittor.nn.MaxPool2d,tf.keras.layers.MaxPooling2D
106,maxpool3d,torch.nn.MaxPool3d,mindspore.nn.MaxPool3d,paddle.nn.MaxPool3D,jittor.nn.MaxPool3d,tf.keras.layers.MaxPooling3D
107,maxunpool1d,torch.nn.MaxUnpool1d,mindspore.nn.MaxUnpool1d,paddle.nn.MaxUnPool1D,,
108,maxunpool2d,torch.nn.MaxUnpool2d,mindspore.nn.MaxUnpool2d,paddle.nn.MaxUnPool2D,jittor.nn.MaxUnpool2d,
109,maxunpool3d,torch.nn.MaxUnpool3d,mindspore.nn.MaxUnpool3d,paddle.nn.MaxUnPool3D,jittor.nn.MaxUnpool3d,
110,mish,torch.nn.Mish,mindspore.nn.Mish,paddle.nn.Mish,jittor.nn.Mish,tf.keras.activations.mish
111,mseloss,torch.nn.MSELoss,mindspore.nn.MSELoss,,,
112,multiheadattention,torch.nn.MultiheadAttention,mindspore.nn.MultiheadAttention,paddle.nn.MultiHeadAttention,,
113,multilabelmarginloss,torch.nn.MultiLabelMarginLoss,mindspore.nn.MultilabelMarginLoss,,,
114,multilabelsoftmarginloss,torch.nn.MultiLabelSoftMarginLoss,mindspore.nn.MultiLabelSoftMarginLoss,,,
115,multimarginloss,torch.nn.MultiMarginLoss,mindspore.nn.MultiMarginLoss,,,
116,nllloss,torch.nn.NLLLoss,mindspore.nn.NLLLoss,,,
117,orthogonal,torch.nn.utils.parametrizations.orthogonal,,,,
118,pack_padded_sequence,torch.nn.utils.rnn.pack_padded_sequence,,,,
119,pack_sequence,torch.nn.utils.rnn.pack_sequence,,,,
120,packedsequence,torch.nn.utils.rnn.PackedSequence,,,,
121,pad_packed_sequence,torch.nn.utils.rnn.pad_packed_sequence,,,,
122,pad_sequence,torch.nn.utils.rnn.pad_sequence,,,,
123,pairwisedistance,torch.nn.PairwiseDistance,,paddle.nn.PairwiseDistance,,
124,parameters_to_vector,torch.nn.utils.parameters_to_vector,,,,
125,parametrizationlist,torch.nn.utils.parametrize.ParametrizationList,,,,
126,pixelshuffle,torch.nn.PixelShuffle,mindspore.nn.PixelShuffle,paddle.nn.PixelShuffle,jittor.nn.PixelShuffle,
127,pixelunshuffle,torch.nn.PixelUnshuffle,mindspore.nn.PixelUnshuffle,paddle.nn.PixelUnshuffle,,
128,poissonnllloss,torch.nn.PoissonNLLLoss,mindspore.nn.PoissonNLLLoss,,,
129,prelu,torch.nn.PReLU,mindspore.nn.PReLU,paddle.nn.PReLU,jittor.nn.PReLU,tf.keras.layers.PReLU
130,pruningcontainer,torch.nn.utils.prune.PruningContainer,,,,
131,random_structured,torch.nn.utils.prune.random_structured,,,,
132,random_unstructured,torch.nn.utils.prune.random_unstructured,,,,
133,randomstructured,torch.nn.utils.prune.RandomStructured,,,,
134,randomunstructured,torch.nn.utils.prune.RandomUnstructured,,,,
135,reflectionpad1d,torch.nn.ReflectionPad1d,mindspore.nn.ReflectionPad1d,,,
136,reflectionpad2d,torch.nn.ReflectionPad2d,mindspore.nn.ReflectionPad2d,,jittor.nn.ReflectionPad2d,
137,reflectionpad3d,torch.nn.ReflectionPad3d,mindspore.nn.ReflectionPad3d,,,
138,register_parametrization,torch.nn.utils.parametrize.register_parametrization,,,,
139,relu,torch.nn.ReLU,mindspore.nn.ReLU,paddle.nn.ReLU,jittor.nn.ReLU,tf.keras.layers.ReLU
140,relu6,torch.nn.ReLU6,mindspore.nn.ReLU6,paddle.nn.ReLU6,jittor.nn.ReLU6,
141,remove,torch.nn.utils.prune.remove,,,,
142,remove_parametrizations,torch.nn.utils.parametrize.remove_parametrizations,,,,
143,remove_spectral_norm,torch.nn.utils.remove_spectral_norm,,,,
144,remove_weight_norm,torch.nn.utils.remove_weight_norm,,,,
145,replicationpad1d,torch.nn.ReplicationPad1d,mindspore.nn.ReplicationPad1d,,,
146,replicationpad2d,torch.nn.ReplicationPad2d,mindspore.nn.ReplicationPad2d,,jittor.nn.ReplicationPad2d,
147,replicationpad3d,torch.nn.ReplicationPad3d,mindspore.nn.ReplicationPad3d,,,
148,rnn,torch.nn.RNN,mindspore.nn.RNN,paddle.nn.RNN,,tf.keras.layers.SimpleRNN
149,rnnbase,torch.nn.RNNBase,,,jittor.nn.RNNBase,
150,rnncell,torch.nn.RNNCell,mindspore.nn.RNNCell,,jittor.nn.RNNCell,tf.keras.layers.SimpleRNNCell
151,rrelu,torch.nn.RReLU,mindspore.nn.RReLU,paddle.nn.RReLU,,
152,selu,torch.nn.SELU,mindspore.nn.SeLU,paddle.nn.SELU,,tf.keras.activations.selu
153,sigmoid,torch.nn.Sigmoid,mindspore.nn.Sigmoid,paddle.nn.Sigmoid,jittor.nn.Sigmoid,tf.keras.activations.sigmoid
154,silu,torch.nn.SiLU,mindspore.nn.SiLU,paddle.nn.Silu,,
155,skip_init,torch.nn.utils.skip_init,,,,
156,smoothl1loss,torch.nn.SmoothL1Loss,mindspore.nn.SmoothL1Loss,,,
157,softmarginloss,torch.nn.SoftMarginLoss,mindspore.nn.SoftMarginLoss,,,
158,softmax,torch.nn.Softmax,mindspore.nn.Softmax,paddle.nn.Softmax,jittor.nn.Softmax,tf.keras.layers.Softmax
159,softmax2d,torch.nn.Softmax2d,mindspore.nn.Softmax2d,paddle.nn.Softmax2D,,
160,softmin,torch.nn.Softmin,mindspore.nn.Softmin,,,
161,softplus,torch.nn.Softplus,,paddle.nn.Softplus,jittor.nn.Softplus,tf.keras.activations.softplus
162,softshrink,torch.nn.Softshrink,mindspore.nn.SoftShrink,paddle.nn.Softshrink,,
163,softsign,torch.nn.Softsign,mindspore.nn.Softsign,paddle.nn.Softsign,,tf.keras.activations.softsign
164,spectral_norm,torch.nn.utils.parametrizations.spectral_norm,,,,
165,syncbatchnorm,torch.nn.SyncBatchNorm,mindspore.nn.SyncBatchNorm,paddle.nn.SyncBatchNorm,,
166,tanh,torch.nn.Tanh,mindspore.nn.Tanh,paddle.nn.Tanh,jittor.nn.Tanh,tf.keras.activations.tanh
167,tanhshrink,torch.nn.Tanhshrink,mindspore.nn.Tanhshrink,paddle.nn.Tanhshrink,,
168,threshold,torch.nn.Threshold,mindspore.nn.Threshold,,,
169,transformer,torch.nn.Transformer,mindspore.nn.Transformer,,,
170,transformerdecoder,torch.nn.TransformerDecoder,mindspore.nn.TransformerDecoder,,,
171,transformerdecoderlayer,torch.nn.TransformerDecoderLayer,mindspore.nn.TransformerDecoderLayer,,,
172,transformerencoder,torch.nn.TransformerEncoder,mindspore.nn.TransformerEncoder,,,
173,transformerencoderlayer,torch.nn.TransformerEncoderLayer,mindspore.nn.TransformerEncoderLayer,,,
174,tripletmarginloss,torch.nn.TripletMarginLoss,mindspore.nn.TripletMarginLoss,,,
175,tripletmarginwithdistanceloss,torch.nn.TripletMarginWithDistanceLoss,,,,
176,unflatten,torch.nn.Unflatten,mindspore.nn.Unflatten,,,
177,unfold,torch.nn.Unfold,mindspore.nn.Unfold,paddle.nn.Unfold,,
178,unpack_sequence,torch.nn.utils.rnn.unpack_sequence,,,,
179,unpad_sequence,torch.nn.utils.rnn.unpad_sequence,,,,
180,upsample,torch.nn.Upsample,mindspore.nn.Upsample,paddle.nn.Upsample,jittor.nn.Upsample,
181,upsamplingbilinear2d,torch.nn.UpsamplingBilinear2d,,paddle.nn.UpsamplingBilinear2D,jittor.nn.UpsamplingBilinear2d,
182,upsamplingnearest2d,torch.nn.UpsamplingNearest2d,,paddle.nn.UpsamplingNearest2D,jittor.nn.UpsamplingNearest2d,
183,vector_to_parameters,torch.nn.utils.vector_to_parameters,,,,
184,weight_norm,torch.nn.utils.weight_norm,,,,
185,zeropad2d,torch.nn.ZeroPad2d,mindspore.nn.ZeroPad2d,paddle.nn.ZeroPad2D,jittor.nn.ZeroPad2d,tf.keras.layers.ZeroPadding2D
186,batchnorm,,,,jittor.nn.BatchNorm,
187,conv,,,,jittor.nn.Conv,
188,conv1d_sp,,,,jittor.nn.Conv1d_sp,
189,convtranspose,,,,jittor.nn.ConvTranspose,
190,droppath,,,,jittor.nn.DropPath,
191,instancenorm,,,,jittor.nn.InstanceNorm,
192,layernorm1d,,,,jittor.nn.LayerNorm1d,
193,layernorm2d,,,,jittor.nn.LayerNorm2d,
194,layernorm3d,,,,jittor.nn.LayerNorm3d,
195,leaky_relu,,,,jittor.nn.Leaky_relu,
196,pool,,,,jittor.nn.Pool,
197,pool3d,,,,jittor.nn.Pool3d,
198,resize,,,,jittor.nn.Resize,
